Energias,ZAPA,Gst ganado,Arreglo Gst,Coste de caja gst,GMT,Total GST ,Caja mb,HP%,Obtencion caja,Upgrades,TOTAL FECHA GST,TOTAL USDT FECHA,Fecha,Aclaraciones de Upgrades,Success LV1,Success LV2,Success LV3,Success LV4,Porcentajes ,lv1,lv2,lv3,lv4,,OK,gemas l1,gemaslv2,gemas lv3,gemas lv4
14,WEG-579,109,4.8,,,104.2,F,86.84,,100,4.2,,18/11/22,3Elv2 fail,,NO,,,,,,,,,,,,,
8,WEG-579,77.6,5.2,,,72.4,F,86.41,,50,22.4,,19/11/22,3Clv1 OK,YES,,,,,,,,,,,,,,
20,UNC-WL-432,59.8,5.7,261,,-206.9,6,74.62,6Clv1 + 2Rlv2,100,-306.9,,20/11/22,3Llv2  fail,,NO,,,,,,,,,,,,,
16,UNC-WL-432,47.2,5,543,,-500.8,7,73.11,10Rlv1 + 3Clv2,100,-600.8,31,25/11/22,3Elv2  fail,,NO,,,,,,,,,,,,,
12,WEG-579,88.7,4.5,,,84.2,F,85.41,,50,34.2,,27/11/22,3Clv1 fail,NO,,,,,,,,,,,,,,
16,WEG-579,137.32,6.6,,,130.72,F,84.31,,50,80.72,,28/11/22,3Clv1 fail,NO,,,,,,,,,,,,,,
14,WEG-579,108,4.8,,,103.2,F,83.21,,100,3.2,,29/11/22,3Clv1 OK,YES,,,,,,,,,,,,,,
20,UNC-WL-432,59.2,5.76,271,,-217.56,6,71.81,6Elv1 + 2Clv2,100,-317.56,21,30/11/22,3Elv1 fail,NO,,,,,,,,,,,,,,
20,UNC-WL-432,60.1,5.76,258,,-203.66,6,70.33,6Rlv1 + 2Rlv2,100,-303.66,4.1,1/12/22,3Elv1 ok,YES,,,,,,,,,,,,,,
20,UNC-WL-432,58.7,5.76,276,,-223.06,6,68.33,6Llv1 + 2Clv2,50,-273.06,20,2/12/22,3Elv2 ok,,YES,,,,,,,,,,,,,
8,UNC-WEG-168,115,8,,,107,F,99.54,,100,7,,3/12/22,3Clv1 fail,NO,,,,,,,,,,,,,,
12.3,UNC-WEG-168,165,11.5,,,153.5,F,98.32,,100,53.5,,4/12/22,3Rlv2 fail,,NO,,,,,,,,,,,,,
10,UNC-WEG-168,150,9.79,,,140.21,F,97.52,,100,40.21,,5/12/22,3Elv2 fail,,NO,,,,,,,,,,,,,
12,UNC-WEG-168,169.5,11.2,,,158.3,F,95.72,,250,-91.7,,6/12/22,3Elv1 fail,NO,,,,,,,,,,,,,,
21,UNC-WL-432,62,5.76,261,,-204.76,6,66.61,6Clv1 + 2Rlv2,50,-254.76,5.6,7/12/22,3Llv1 fail,NO,,,,,,,,,,,,,,
